name,rating,reviews,info,category,composite_score,high_review_flag,address
Alchemist Cafe Patisserie,5.0,2061,"5.0(2,061)",Patisserie,12.63094658089046,True,Chatzichristou 8
The Black Salami Microbakery,4.8,1540,€5–10,Bakery,12.139537695407675,True, · Zoodochou Pigis 71
Wild Souls Athens,4.8,828,4.8(828),Nut store,11.51901315438526,True,Voulis 36
Μαμά ψωμί,4.8,337,€1–5,Bakery,10.62008293035236,True, · Zacharitsa 42
Amandine's Bagels,4.8,333,€5–10,Bagel shop,10.608142489980445,True,Nikis 13
Αρτοποιείο Δήμου (Dimou Bakery/pastry shop),4.8,324,€1–5,Bakery,10.580743515792328,True, · Ilia Poulopoulou 17
Artos Venetis,4.8,319,4.8(319),Pastries,10.565191102784844,True,Sarri 13
Κekkos Traditional Cafe & Pastry,4.8,296,4.8(296),Cafe,10.49035945432406,True, · Eratosthenous 7
overoll,4.7,3038,€1–5,Bakery,12.71895468315572,True,Praxitelous 27
Peinirli Ionias,4.7,1561,€1–5,Bakery,12.053081920515432,True, · Panormou 3
Takis Bakery,4.7,1387,€1–5,Bakery,11.93489842031483,True,Misaraliotou 14
Creme Royale,4.7,461,€1–5,Cafe,10.833398042996649,True,Athinas 37
Ζαχαροπλαστείο (MAKARON) Lonis,4.7,334,4.7(334),Pastries,10.5111409929767,True,Athinas 7
Thiseio Bakery,4.7,296,€1–5,Bakery,10.39035945432406,True,Nileos 34
Pnyka,4.7,293,€1–5,Bakery,10.380172609017068,True,Petraki 24
KORA,4.6,1109,€5–10,Bakery,11.611213987350368,True, · Panagiotou Anagnostopoulou 44
Μάμ,4.6,789,€1–5,Pie shop,11.270766320845873,True,Pesmazoglou 3
To Koulouri of Psirri,4.6,638,€1–5,Bakery,11.058338283344789,True, · Γεωργίου Καραϊσκάκη 23
CAKE Kolonaki,4.6,462,€5–10,Cupcakes,10.735564891081738,True, · Irodotou 15
Afrato,4.6,295,€1–5,Bakery,10.28697535633982,True, · Evridamantos 13
Πετέκ - Ζαχαροπλαστείο,4.6,289,$$,Pastries,10.266426688112432,True, · 3is Septemvriou 81
Remoundos Traditional Bakery,4.6,287,€1–5,Bakery,10.259482215759622,True,Kipselis 37
ΔΕΡΒΑΣ ΧΡΗΣΤΟΣ,4.6,262,$$,Pastries,10.168344503761096,True,Artakis 89
Donutsino,4.6,253,€1–5,Coffee shop,10.13338948872752,True,Akropoleos 104
Melissa Fine Pastry,4.5,1524,$$$,Patisserie,11.829093736246593,True, · Ethnarchou Makariou 43
