name,rating,reviews,info,category,composite_score,high_review_flag,address
The Black Salami Microbakery,4.8,1540,€5–10,Bakery,12.139537695407675,True, · Zoodochou Pigis 71
Little Bear Piraeus - Vegan Patisserie & Bistro,4.8,342,4.8(342),Patisserie,10.634810737062605,True,El. Venizelou 14
Μαμά ψωμί,4.8,337,€1–5,Bakery,10.62008293035236,True, · Zacharitsa 42
Amandine's Bagels,4.8,333,€5–10,Bagel shop,10.608142489980445,True,Nikis 13
Αρτοποιείο Δήμου (Dimou Bakery/pastry shop),4.8,324,€1–5,Bakery,10.580743515792328,True, · Ilia Poulopoulou 17
Artos Venetis,4.8,319,4.8(319),Pastries,10.565191102784844,True,Sarri 13
Κekkos Traditional Cafe & Pastry,4.8,296,4.8(296),Cafe,10.49035945432406,True, · Eratosthenous 7
overoll,4.7,3038,€1–5,Bakery,12.71895468315572,True,Praxitelous 27
Takis Bakery,4.7,1387,€1–5,Bakery,11.93489842031483,True,Misaraliotou 14
Creme Royale,4.7,461,€1–5,Cafe,10.833398042996649,True,Athinas 37
Special patisserie,4.7,460,$$,Patisserie,10.83122648948314,True,Trion Ierarchon 124
Pnyka,4.7,396,$$,Pastries,10.68141421125448,True,Pratinou 2
Ζαχαροπλαστείο (MAKARON) Lonis,4.7,334,4.7(334),Pastries,10.5111409929767,True,Athinas 7
Thiseio Bakery,4.7,296,€1–5,Bakery,10.39035945432406,True,Nileos 34
Pnyka,4.7,293,€1–5,Bakery,10.380172609017068,True,Petraki 24
KORA,4.6,1109,€5–10,Bakery,11.611213987350368,True, · Panagiotou Anagnostopoulou 44
Alice Cakewitch Πετράλωνα,4.6,861,€5–10,Cafe,11.35809450442773,True,Ious 42
To Koulouri of Psirri,4.6,638,€1–5,Bakery,11.058338283344789,True, · Γεωργίου Καραϊσκάκη 23
CAKE Kolonaki,4.6,462,€5–10,Cupcakes,10.735564891081738,True, · Irodotou 15
Belle Vue - Patisserie,4.6,430,$$,Bakery,10.663785208687608,True, · Leof. El. Venizelou 104
Afrato,4.6,295,€1–5,Bakery,10.28697535633982,True, · Evridamantos 13
Πετέκ - Ζαχαροπλαστείο,4.6,289,$$,Pastries,10.266426688112432,True, · 3is Septemvriou 81
ΔΕΡΒΑΣ ΧΡΗΣΤΟΣ,4.6,262,$$,Pastries,10.168344503761096,True,Artakis 89
Donutsino,4.6,253,€1–5,Coffee shop,10.13338948872752,True,Akropoleos 104
Tromero Paidi,4.5,1313,€5–10,Bakery,11.680069874302797,True, · Papadiamantopoulou 30
