name,rating,reviews,info,category,composite_score,high_review_flag,address
Alchemist Cafe Patisserie,5.0,2061,"5.0(2,061)",Patisserie,12.63094658089046,True,Chatzichristou 8
The Black Salami Microbakery,4.8,1540,€5–10,Bakery,12.139537695407675,True, · Zoodochou Pigis 71
Fika coffee & croissant,4.8,574,€1–5,Coffee shop,11.152629396319568,True,Vourvachi 6
MARINOS KOSMAS GLUTEN FREE PASTRY & BAKERY PROJECT,4.8,357,4.8(357),Pastries,10.67773578177964,True, · Leof. Mesogeion 78Α
Amandine's Bagels,4.8,333,€5–10,Bagel shop,10.608142489980445,True,Nikis 13
Αρτοποιείο Δήμου (Dimou Bakery/pastry shop),4.8,324,€1–5,Bakery,10.580743515792328,True, · Ilia Poulopoulou 17
Artos Venetis,4.8,319,4.8(319),Pastries,10.565191102784844,True,Sarri 13
Κekkos Traditional Cafe & Pastry,4.8,296,4.8(296),Cafe,10.49035945432406,True, · Eratosthenous 7
overoll,4.7,3038,€1–5,Bakery,12.71895468315572,True,Praxitelous 27
Peinirli Ionias,4.7,1561,€1–5,Bakery,12.053081920515432,True, · Panormou 3
Takis Bakery,4.7,1387,€1–5,Bakery,11.93489842031483,True,Misaraliotou 14
Phleïbor,4.7,843,4.7(843),Patisserie,11.436966958001856,True, · Nikis 10
Creme Royale,4.7,461,€1–5,Cafe,10.833398042996649,True,Athinas 37
Eklekti Confectionery,4.7,417,4.7(417),Confectionery store,10.733086221798802,True,"Αστυδάμαντος 15, Παγκράτι, Pl. Mesologgiou"
Ζαχαροπλαστείο (MAKARON) Lonis,4.7,334,4.7(334),Pastries,10.5111409929767,True,Athinas 7
Thiseio Bakery,4.7,296,€1–5,Bakery,10.39035945432406,True,Nileos 34
Pnyka,4.7,293,€1–5,Bakery,10.380172609017068,True,Petraki 24
LUKUMAΔΕΣ,4.6,7779,$$,Dessert shop,13.559183074206771,True,"Eolou 21, & Aghias Irinis Str"
To Koulouri of Psirri,4.6,638,€1–5,Bakery,11.058338283344789,True, · Γεωργίου Καραϊσκάκη 23
CAKE Kolonaki,4.6,462,€5–10,Cupcakes,10.735564891081738,True, · Irodotou 15
Afrato,4.6,295,€1–5,Bakery,10.28697535633982,True, · Evridamantos 13
Πετέκ - Ζαχαροπλαστείο,4.6,289,$$,Pastries,10.266426688112432,True, · 3is Septemvriou 81
Patisserie Artemis,4.6,281,4.6(281),Ice Cream,10.238354669333743,True,Makrigianni 33
Tromero Paidi,4.5,1313,€5–10,Bakery,11.680069874302797,True, · Papadiamantopoulou 30
Kokkion,4.5,1139,$$,Ice Cream,11.537905963447182,True, · Protogenous 2
